dataset_id,dataset_name,target_class,proposed_role,proposed_parent_count,source_groups,official_url,reported_size,license_status,reported_license,community_forensics_overlap,spai_overlap,decision,next_action
DS-001,GenImage,real_and_ai,development,400,"ImageNet real; 8 AI generator families",https://github.com/GenImage-Dataset/GenImage,"over 1M pairs",mixed_or_unresolved,"repository license does not automatically resolve ImageNet image terms",high,"AI overlap possible",development_only,"archive license and use a deterministic subset"
DS-002,Synthbuster,ai,external_holdout,400,"9 generator families; choose 4 x 100",https://zenodo.org/records/10066460,12.4GB,confirmed,CC-BY-NC-SA-4.0,"generator overlap possible","generator overlap possible",candidate,"download metadata and compare model lists before selection"
DS-003,RAISE,real,internal_or_external_holdout,300,"3 cameras x 100",https://loki.disi.unitn.it/RAISE/,8156_RAW,terms_to_archive,"citation required; site states no copyright/privacy issues","not listed in known CF real training sources","not listed in known SPAI real training sources",candidate,"archive access terms and define RAW conversion profile"
DS-004,Warwick_Image_Forensics,real,internal_or_external_holdout,400,"4 of 14 cameras x 100",https://wrap.warwick.ac.uk/id/eprint/136576/,58600_plus,terms_to_archive,"authors state open-source and free for forensic community","not listed in known CF real training sources","not listed in known SPAI real training sources",candidate,"locate download terms and freeze device groups"
DS-005,AIGIBench,ai,internal_holdout,400,"4 recent generator subsets x 100",https://github.com/HorizonTEL/AIGIBench,"25 test subsets",confirmed_repository_terms,"CC-BY-NC-SA-4.0 plus custom non-commercial terms; source-specific terms still required","exact generator overlap must be checked","exact generator overlap must be checked",conditional,"verify source-specific terms and obtain file manifest before download"
DS-006,VISION,real,development,0,"35 portable devices",https://lesc.dinfo.unifi.it/materials/datasets/,35000_plus,terms_to_archive,unresolved,known_training_source,"not listed in known SPAI real training sources",exclude_from_joint_holdout,"development only"
DS-007,Forchheim,real,development,0,"27 smartphone cameras",https://faui1-files.cs.fau.de/public/mmsec/datasets/fid/,23000_plus,terms_to_archive,unresolved,known_training_source,"not listed in known SPAI real training sources",exclude_from_joint_holdout,"development only"
DS-008,Community_Forensics,real_and_ai,development_or_spai_only,0,"4803 AI models plus 11 real sources",https://huggingface.co/datasets/OwensLab/CommunityForensics,1.1TB,mixed,"dataset card and source-specific terms",direct_training_corpus,"not SPAI training corpus",exclude_for_cf_validation,"never use to validate Community Forensics"
DS-009,FloreView,real,external_holdout,400,"4 of 46 smartphones x 100",https://lesc.dinfo.unifi.it/materials/datasets/,6637_images,unresolved,unresolved,"not listed in known CF real training sources","not listed in known SPAI real training sources",conditional,"verify license access and exact device metadata"
DS-010,HDR_Dataset_LESC,real,external_holdout,400,"4 of 23 devices x 100",https://lesc.dinfo.unifi.it/materials/datasets/,5000_plus,unresolved,unresolved,"not listed in known CF real training sources","not listed in known SPAI real training sources",conditional,"verify license and avoid duplicate scenes"
